MAP NAME                  | DIFFICULTY   | CREATOR                        | DATE        
HeyTux7                   | Main         | тυx                            | 2025-10-19  
HiddenIsland              | Main         | Nyanto                         | 2018-02-27  
Himalaya                  | Mod          | Brokecdx                       | 2019-08-08  
Himalaya2                 | Mod          | Brokecdx-                      | 2022-05-10  
Himalaya3                 | Mod          | Brokecdx-                      | 2025-04-20  
himinn                    | Hard         | New Hero                       | 2024-09-08  
Hoarfrost                 | Extreme      | Omezurion                      | 2023-03-10  
Hoarfrost2                | Insane       | Omezurion                      | 2023-05-19  
Hoarfrost_twisted         | Unknown      | mind                           | 2024-12-14  
Honeycomb                 | Hard         | Route66                        | 2022-05-06  
Hooksy                    | Hard         | ZXC¿Girl?                      | 2025-09-29  
humik                     | Hard         | humik                          | 2023-09-20  
Humik4Alea                | Main         | humik                          | 2022-02-11  
i_need_mushroom_girl      | Hard         | ZXC¿Girl?                      | 2025-10-12  
iCe-Ice                   | Insane       | Deploid, se                    | 2021-10-10  
IceBox                    | Insane       | Genex, JSON                    | 2021-07-02  
Icebreaker                | Easy         | AKc0RiZer                      | 2017-09-26  
Icicle                    | Hard         | beatdown                       | 2023-01-21  
ikiedulover               | Hard         | Colo-Colo                      | 2024-03-27  
Iloveyoumoreeachtimeyoudie | Extreme      | Mixi                           | 2023-09-09  
ilyzaelle                 | Hard         | Colo-Colo                      | 2023-07-12  
Im_Climb5                 | Main         | Zerox                          | Released during a sunrise
Im_Climb_2                | Main         | Im_Climb                       | Released during a sunrise
Imaginary_Voyage          | Insane       | Shiiir0, Xin                   | 2021-05-25  
ImagineThePain            | Insane       | Mixi                           | 2022-01-21  
ImpelDown                 | Insane       | MoonCake                       | 2021-09-03  
Impossible                | Insane       | Yo                             | 2016-12-22  
Impossible_2              | Extreme      | Yo                             | 2021-08-13  
Improvise                 | Hard         | Knuski                         | 2019-11-24  
impton                    | Hard         | Gotie, KOF                     | 2022-02-15  
Inception                 | Hard         | Brokecdx Miiep                 | 2019-06-24  
infazci                   | Insane       | rawensawa                      | 2023-10-24  
Infinished                | Hard         | Infi                           | 2023-09-12  
InkTerston1               | Main         | Terston                        | 2017-08-27  
Innercise                 | Insane       | Themix                         | 2025-05-23  
Insaipteleres             | Solo         | Themix                         | 2023-10-04  
Insane                    | Extreme      | Ssor                           | 2023-09-08  
Insanious                 | Extreme      | purrp T                        | 2021-10-26  
Insidious                 | Hard         | FJP                            | 2023-08-15  
insomyu                   | Insane       | Komyu                          | 2024-09-06  
Interstellar              | Hard         | Brokecdx_&_Miiep               | 2018-11-17  
IntoTheFog                | Main         | purrp T                        | 2020-07-10  
iWebCkis1                 | Hard         | iWeb_CkiS                      | 2019-09-04  
Jauria                    | Main         | Warto                          | 2022-06-21  
Jebeto-Gores              | Mod          | Jebeto                         | Released during a sunrise
JoKGores                  | Insane       | JoKAir                         | 2022-04-08  
Jore4NANAMAR              | Insane       | Jore                           | 2021-01-10  
Jungle_Safari             | Hard         | Bo₩ser                         | 2024-06-20  
Just_Gores7               | Main         | Just_TeE                       | Released during a sunrise
Just_Gores8               | Main         | Just_TeE                       | Released during a sunrise
Just_Gores9               | Main         | Just_Tee                       | Released during a sunrise
Just_Team1                | Main         | Just_TeE                       | Released during a sunrise
Just_TeE3                 | Main         | Just_TeE3                      | Released during a sunrise
JustCommunity             | Insane       | Mixi, Szymon                   | 2021-07-27  
justfeat                  | Insane       | feat                           | 2021-06-25  
JustTeE4JustNoob          | Hard         | Just_TeE                       | 2016-11-26  
kakdela                   | Insane       | ejjie                          | 2025-09-29  
Kaston                    | Insane       | ZXC¿Girl? & Twisted            | 2025-08-17  
Kawk_Doo                  | Insane       | 곽 두                            | 2024-06-07  
Kero-Gores1               | Main         | Kero                           | Released during a sunrise
Kero-Gores2               | Unknown      | Kero                           | Released during a sunrise
Kero-Gores3               | Main         | Kero                           | Released during a sunrise
Kero-Gores4               | Main         | Kero                           | Released during a sunrise
Kero-Gores5               | Main         | Kero                           | Released during a sunrise
Kero-Gores6               | Main         | Kero                           | Released during a sunrise
Kero-Gores7               | Main         | Kero                           | 2017-08-27  
Kero4cooper               | Main         | Kero                           | Released during a sunrise
Kero4QshaR                | Main         | Kero                           | 2018-05-31  
KeroDummy                 | Mod          | Kero                           | Released during a sunrise
Kickmix                   | Insane       | Kicker, Themix                 | 2020-09-04  
King_of_Darkness          | Extreme      | Bibek                          | 2025-07-04  
King_of_Mountains         | Insane       | Mixi, Beautemps                | 2021-03-09  
Knight1e                  | Main         | Knight                         | Released during a sunrise
Knutz1                    | Main         | Knuski                         | 2020-10-01  
Koggers                   | Main         | Tyrone                         | 2023-10-12  
KoGHub                    | Main         | Zonsa                          | 2021-10-17  
Kogritos                  | Hard         | ZXC¿Girl?                      | 2025-05-23  
KogWatch                  | Main         | PumaYT                         | 2022-03-22  
komyuSRT                  | Hard         | Komyu                          | 2023-07-21  
konwic4protokol           | Hard         | konwic                         | 2020-08-29  
Krumplee                  | Extreme      | Milaseq_                       | 2025-12-15  
KrumpleeLand              | Extreme      | Krumplee                       | 2021-12-26  
KrumpleePark              | Extreme      | Krumplee                       | 2024-01-08  
Lair                      | Solo         | FJP                            | 2023-09-23  
LamaBro                   | Insane       | Yo                             | 2016-10-25  
legendary                 | Insane       | bzw                            | 2019-07-01  
light                     | Insane       | cagent                         | 2021-02-16  
LikeAFlo                  | Insane       | Destin                         | 2021-10-19  
Lilac                     | Easy         | FJP                            | 2022-01-25  
Lionheart                 | Main         | konwic                         | 2020-11-17  
LittleCandles             | Insane       | MoonCake                       | 2020-06-12  
LittlePark                | Insane       | madison56                      | 2025-07-04  
Lluvia                    | Hard         | Warto                          | 2025-09-29  
London                    | Hard         | sasha34827                     | 2025-09-01  
LookAtMe                  | Hard         | ejjiе                          | 2024-06-30  
Lord_of_the_Rings         | Extreme      | Themix                         | 2023-12-28  
lovender                  | Main         | purrp T                        | 2021-08-24  
LuLu-Gores                | Mod          | LuLu                           | Released during a sunrise
LUNATIC                   | Hard         | Rei ayanami                    | 2022-01-07  
Madriguera                | Mod          | Warto                          | 2022-02-18  
Magikarp                  | Main         | Warto                          | 2024-07-25  
Mainiac                   | Hard         | Marmare                        | 2019-09-14  
Marceline                 | Mod          | RaiNy                          | 2017-05-21  
Master                    | Hard         | Tr3agle                        | 2023-05-07  
MATTE                     | Main         | Rei ayanami                    | 2021-11-09  
Mechanica                 | Main         | humik                          | 2022-04-12  
Mechanica_II              | Hard         | humik                          | 2023-01-24  
Mechanical                | Solo         | ᴄʀʏsɪs                         | 2025-08-03  
meew1                     | Main         | meew                           | 2017-03-08  
meew2                     | Main         | meew                           | 2017-11-27  
meew3                     | Hard         | meew                           | 2018-01-10  
meew4                     | Hard         | meew                           | 2018-04-03  
melange                   | Solo         | Gotie                          | 2023-09-17  
Meliogor                  | Main         | Meliodafu                      | Released during a sunrise
Meliogor2                 | Main         | Meliodafu                      | Released during a sunrise
melisawa                  | Insane       | bamgumelisa                    | 2025-01-27  
mellow                    | Hard         | Uber                           | 2021-06-08  
Metal                     | Hard         | Thermiq                        | 2022-12-15  
Metal2                    | Hard         | Thermiq                        | 2023-04-07  
Micksee                   | Insane       | Mixi                           | 2025-02-22  
midnight                  | Insane       | cagent                         | 2021-02-05  
Miiep4Miezii              | Hard         | Miiep                          | 2019-02-23  
Miku4Lama                 | Hard         | Hatsune Miku                   | 2016-11-16  
Miku4MonkeyDream          | Hard         | HatsuneMiku                    | 2017-10-01  
MikuEasy                  | Easy         | Hatsune_Miku                   | 2017-08-13  
MikuGores                 | Hard         | HatsuneMiku                    | 2018-05-31  
Milerty                   | Main         | sasha34827                     | 2025-12-31  
Milkyway                  | Solo         | Zonsa                          | 2023-08-03  
Mimixi                    | Hard         | Mixi                           | 2024-12-24  
Mine                      | Main         | Oмezurion                      | 2021-07-23  
Minecraft                 | Insane       | Hasty, Freguês                 | 2023-02-17  
Miniature_Fantasy         | Mod          | Themix                         | Released during a sunrise
Minimalist1               | Main         | Beautemps                      | 2020-05-26  
Minimalist2               | Hard         | Beautemps                      | 2020-12-18  
Mintfresh                 | Main         | Afterbjörn                     | 2024-06-16  
Mintfresh_II              | Hard         | Afterbjörn                     | 2024-12-28  
MinTurquoise              | Main         | FlipLipp                       | 2019-02-14  
Mixi1                     | Insane       | Mixi                           | 2020-11-24  
Mixi2                     | Insane       | Mixi                           | 2021-01-08  
Mixi3                     | Insane       | Mixi                           | 2021-05-18  
Mixi4                     | Insane       | Mixi                           | 2021-09-17  
Mixi4Anni                 | Main         | Mixi                           | 2023-04-16  
Mixi4Denkstdu             | Main         | Mixi                           | 2023-02-22  
Mixi4Hawerer              | Hard         | Mixi                           | 2023-12-07  
Mixi4isen                 | Main         | Mixi                           | 2022-02-01  
Mixi4jkaem                | Easy         | Mixi                           | 2024-05-19  
Mixi4kamillentee          | Main         | Mixi                           | 2024-01-13  
Mixi4Karolina             | Hard         | Mixi                           | 2024-12-27  
Mixi4KKUBA102             | Insane       | Mixi                           | 2020-09-26  
Mixi4Migget               | Hard         | Mixi                           | 2021-12-10  
Mixi4Miku                 | Hard         | Mixi                           | 2021-12-05  
Mixi4QshaR                | Hard         | Mixi                           | 2023-10-22  
Mixi4RaiNy                | Main         | Mixi                           | 2022-02-22  
Mixi4Rouz                 | Insane       | Mixi                           | 2022-12-30  
Mixi4Zonsa                | Insane       | Mixi                           | 2023-09-27  
Mixi5                     | Insane       | Mixi                           | 2024-03-02  
Mixi6                     | Hard         | Mixi                           | 2022-12-22  
Mixtux                    | Solo         | Themix                         | 2023-04-23  
MOJITO                    | Insane       | Jore, Mixi                     | 2021-08-10  
Monochromik               | Main         | Synonym                        | 2020-10-23  
Monstro                   | Insane       | Deploid                        | 2022-08-12  
MoonFlip                  | Insane       | MoonFlip                       | 2019-05-26  
MoonIX                    | Insane       | ŁoʋƙieeŞ散                      | 2025-12-31  
Moonlight                 | Insane       | Windy                          | 2025-12-08  
MorfeusGrydwin            | Hard         | Morfeus & Grydwin              | Released during a sunrise
Morrow                    | Insane       | Jore                           | 2023-06-12  
Mqx1                      | Insane       | Mqx                            | 2025-12-22  
MqxTnul                   | Insane       | Mqx, Tnul                      | 2023-10-14  
mrs_motivation            | Mod          | mrs.                           | 2023-02-11  
MTr                       | Hard         | Waguriッ                        | 2022-11-24  
Muay_Thai                 | Insane       | Knuski                         | 2021-11-01  
MyStery                   | Main         | Mystery Fox                    | Released during a sunrise
N4B                       | Hard         | Nightmare                      | 2018-10-06  
N4D                       | Insane       | Nightmare                      | 2018-11-01  
N4M                       | Hard         | Nightmare                      | 2019-01-23  
N4T                       | Hard         | Nightmare                      | 2018-12-15  
NareemKero                | Main         | Nareem & Kero                  | Released during a sunrise
Naruto                    | Insane       | Bo₩ser, Mixi, FJP, Crispy      | 2023-04-02  
NealsonCkiS1              | Hard         | nealson TnP and CkiS           | Released during a sunrise
NealsonCkiS5              | Hard         | Nealson & CkiS                 | Released during a sunrise
NealsonCkiS8              | Insane       | Nealson TnP                    | Released during a sunrise
NealsonSpeedy             | Main         | Nealson Tn'P                   | Released during a sunrise
Nertato4Gummi             | Insane       | Nertato                        | 2019-09-22  
nevergores3               | Main         | neverminze                     | 2021-03-30  
nevergores4               | Main         | neverminze                     | 2021-04-06  
Neverland                 | Main         | MoonCake                       | 2019-05-20  
Night-Shadow              | Hard         | sasha34827                     | 2025-09-14  
Nighthawk                 | Main         | Ravie                          | 2019-06-13  
Nightingale               | Easy         | Raks, I am not                 | 2023-07-15  
NightSky                  | Hard         | Hunter.exe                     | 2022-11-21  
No_mercy                  | Solo         | Milaseq_                       | 2025-12-31  
Noctulo                   | Insane       | elnoid                         | 2024-07-11  
Noe1                      | Main         | Noe                            | 2021-05-07  
NoWENTEE                  | Main         | sd030                          | 2022-07-15  
Nox1                      | Hard         | Nox                            | 2016-11-23  
Nox2                      | Insane       | Nox                            | 2017-06-25  
Nox4Flo                   | Insane       | delete                         | 2021-09-28  
Nox4Monkey                | Hard         | Nox                            | Released during a sunrise
NoxFlip                   | Insane       | Nox                            | 2018-10-03  
NoxiBoxi                  | Main         | Nox                            | Released during a sunrise
Nujabes_Gores             | Main         | Warto                          | 2025-02-15  
Nyanto4FlameKing          | Hard         | Nyanto                         | 2018-06-29  
Nyanto4Graves             | Main         | Nyanto                         | 2017-08-20  
Nyanto4Mamax              | Main         | Nyanto                         | 2017-10-22  
Nyanto4Xola               | Mod          | Nyanto                         | 2017-03-18  
NyantoDummy               | Mod          | Nyanto                         | 2018-08-24  
NyantoFT                  | Hard         | Nyanto                         | 2017-11-06  
NyantoFY                  | Main         | Nyanto                         | 2016-12-01  
Oaklands                  | Solo         | Zonsa                          | 2023-12-17  
Oasis                     | Insane       | Neo                            | 2019-01-22  
Octagores                 | Extreme      | Fliplipp,Hesse                 | 2023-09-25  
oen1                      | Insane       | Neo                            | 2019-05-04  
oen2                      | Hard         | Neo                            | 2019-12-08  
Oldschool                 | Hard         | Fliplipp                       | 2018-08-18  
OldSchool2                | Main         | Fliplipp                       | 2018-08-28  
Oldschool3                | Hard         | FlipLipp                       | 2018-10-05  
Omesurion4cagent          | Main         | Oмezurion                      | 2021-04-13  
Omesurion4Luckuy21        | Insane       | Oмezurion                      | 2021-11-28  
Omesurion4Shayze          | Insane       | Omezurion                      | 2022-03-29  
Omezurion4escenitty       | Hard         | Omezurion                      | 2022-07-26  
Omezurion4Neo             | Insane       | Omezurion                      | 2022-07-29  
Ominous                   | Hard         | FlipLipp                       | 2019-08-10  
One_N                     | Hard         | sasha34827                     | 2025-12-31  
Operaenna                 | Insane       | Themix                         | 2024-08-03  
Otherworld                | Hard         | V4CUOUS                        | 2019-07-23  
Otherworldly_Way          | Solo         | ZXC¿Girl?                      | 2024-12-29  
Outer                     | Hard         | Route66                        | 2022-01-14  
OutOfTheSky               | Hard         | purrpT                         | 2020-02-04  
Overclocked               | Insane       | Omezurion                      | 2023-06-01  
ozurdilerim_              | Extreme      | ozurdilerim                    | 2024-02-09  
Panik-Gores               | Main         | Panik                          | Released during a sunrise
Panik4Shero               | Main         | Panik                          | Released during a sunrise
Panther                   | Main         | Crispy                         | 2024-12-26  
Paradise_Island           | Insane       | Feat                           | 2018-09-28  
Paris                     | Hard         | Ssor                           | 2023-12-02  
PartlyCloudy              | Main         | Anti                           | 2023-03-16  
Pastelirycs               | Insane       | Themix                         | 2019-10-17  
Pater                     | Main         | sasha34827                     | 2025-06-09  
PatrickStar               | Main         | PatrickStar                    | Released during a sunrise
PDW                       | Hard         | Mixi                           | 2022-11-21  
PeaceDeath                | Main         | Nyanto                         | 2017-09-23  
Peaceful                  | Insane       | Ssor                           | 2024-02-15  
Pepino                    | Hard         | cc                             | 2019-12-29  
Peuma                     | Main         | Mathysplayer                   | 2021-09-21  
Phoenix                   | Insane       | Maze                           | 2021-07-20  
Pickuchi                  | Insane       | phizyxxx & ωerιx               | 2025-09-14  
Piece_of_Sheet            | Insane       | Jore                           | 2021-06-20  
Pillars                   | Main         | Beautemps                      | 2021-09-07  
Pinkdream                 | Main         | Shivi                          | 2024-02-01  
Pinko                     | Hard         | ρнιʐyxxx                       | 2025-12-28  
Pipparo                   | Insane       | Milaseq_                       | 2025-11-23  
planetse                  | Insane       | se                             | 2022-11-30  
Planetux                  | Easy         | tux                            | 2020-01-02  
Plumeria                  | Hard         | Windy                          | 2022-07-01  
PoiPoi                    | Solo         | ipoopi                         | 2023-12-27  
Pokemon_Gen1              | Hard         | RaiNy                          | 2019-01-01  
Polar                     | Hard         | Protokol TnP, Krumplee, FlipLipp | 2020-05-17  
Pop                       | Main         | Pop                            | 2015-05-31  
Pop2                      | Main         | Pop                            | Released during a sunrise
Pop3e                     | Main         | Pop                            | Released during a sunrise
Portico                   | Hard         | Twisted                        | 2025-07-22  
Possession                | Insane       | Krumplee                       | 2020-06-28  
Pradera                   | Mod          | Warto                          | 2023-01-29  
pressure                  | Main         | neverminze                     | 2020-06-05  
Princess_of_Darkness      | Extreme      | Bibek                          | 2022-06-26  
promyu                    | Hard         | Komyu                          | 2024-06-05  
Protokol1                 | Main         | Protokol                       | 2018-09-22  
Protokol3                 | Hard         | Protokol                       | 2018-10-19  
Protokol4                 | Hard         | Protokol                       | 2019-03-19  
protokolbzw               | Insane       | Protokol, bzw                  | 2022-12-02  
Pukki_World               | Mod          | mrs.                           | 2022-12-23  
Pup1e                     | Main         | Pup                            | Released during a sunrise
Pup2                      | Main         | Pup                            | Released during a sunrise
Pup3                      | Main         | Pup                            | Released during a sunrise
Pup4                      | Main         | Pup                            | Released during a sunrise
Pup5e                     | Main         | Pup                            | Released during a sunrise
PupRed1e                  | Main         | Pup & RegFight                 | Released during a sunrise
Purple                    | Insane       | Mqx                            | 2025-11-09  
purple_space              | Hard         | purrpT                         | 2020-01-02  
PurpleStardust            | Insane       | FlipLipp                       | 2019-08-19  
Q-Adventure               | Main         | QshaR                          | 2018-05-12  
Q-Aip-Gores               | Main         | QshaR                          | Released during a sunrise
Q-Aip-Gores2              | Main         | QshaR                          | Released during a sunrise
Q-Aip-Gores3              | Main         | QshaR                          | Released during a sunrise
Q-Aip-Gores4              | Main         | QshaR                          | Released during a sunrise
Q-Aip-Gores5              | Main         | QshaR                          | Released during a sunrise
Q-Aip-Gores6              | Main         | QshaR                          | Released during a sunrise
Q-Aip-Gores7              | Main         | QshaR                          | Released during a sunrise
Q-Aip-Gores8              | Main         | QshaR                          | Released during a sunrise
Q-Dummy-Drag1             | Mod          | QshaR                          | Released during a sunrise
Q-Dummy-Drag2             | Mod          | QshaR & FlipLipp               | Released during a sunrise
Q-Easy1                   | Easy         | QshaR                          | 2017-07-02  
Q-Easy2                   | Easy         | QshaR                          | 2017-07-02  
Q-Gores-Unhook            | Mod          | QshaR                          | Released during a sunrise
Q-Gores3                  | Main         | QshaR                          | Released during a sunrise
Q-Hook                    | Mod          | QshaR                          | Released during a sunrise
Q-KoG-1                   | Main         | QshaR                          | Released during a sunrise
Q-KoG-2                   | Main         | QshaR                          | Released during a sunrise
Q-KoG-3                   | Main         | QshaR                          | Released during a sunrise
Q-KoG-4                   | Main         | QshaR                          | Released during a sunrise
Q-KoG-5                   | Main         | QshaR                          | Released during a sunrise
Q-KoG-Portal              | Main         | QshaR                          | Released during a sunrise
Q-move                    | Hard         | QshaR                          | 2016-11-26  
Q-Story                   | Main         | QshaR                          | Released during a sunrise
Q-tele                    | Hard         | QshaR                          | 2016-10-30  
QF-Competition            | Main         | QshaR                          | Released during a sunrise
QF-Competition2           | Main         | QshaR                          | Released during a sunrise
QF-Gores                  | Main         | QshaR                          | Released during a sunrise
QM-Gores                  | Main         | Morfeus & QshaR                | Released during a sunrise
QuickOne                  | Main         | neverminze                     | 2020-05-05  
R_dventure                | Hard         | RaiNy                          | 2019-10-19  
Race_69                   | Extreme      | Themix                         | 2024-07-05  
Radioactive               | Insane       | purrp T                        | 2024-12-25  
RaiMee                    | Hard         | RaiNy_meew                     | 2018-03-28  
RainbowRoads              | Hard         | bzw                            | 2018-02-25  
RaiNy10                   | Hard         | RaiNy                          | 2018-06-18  
RaiNy4Ink                 | Hard         | RaiNy                          | 2017-06-23  
RaiNy4Nealson             | Unknown      | RaiNy                          | 2018-01-01  
RaiNyMore                 | Hard         | RaiNy                          | 2017-09-02  
RaiNyMore2                | Hard         | RaiNy                          | 2019-05-29  
RaiNyOD                   | Hard         | RaiNy                          | 2017-10-31  
rawensawa                 | Insane       | rawensawa                      | 2024-01-20  
rawensawa4chang           | Extreme      | rawensawa                      | 2024-06-18  
rawensawa4wade            | Insane       | rawensawa                      | 2024-06-24  
Ready4Delete              | Hard         | Themix                         | 2019-04-06  
Real4Taco                 | Hard         | RealTaco                       | 2024-02-21  
red                       | Solo         | Zonsa                          | 2023-09-06  
RedCastle                 | Hard         | mrs                            | 2021-04-09  
RedCastle2                | Hard         | mrs                            | 2022-04-15  
RedCastle3                | Insane       | mrs.                           | 2023-12-25  
RedMoon                   | Insane       | FlipLipp                       | 2018-11-15  
Rei4Omesurion             | Hard         | Rei ayanami                    | 2021-12-19  
Rei4Top                   | Hard         | Rei ayanami                    | 2022-11-27  
Rei_N_Sd030               | Main         | Rei ayanami, sd030             | 2022-04-19  
Reja                      | Main         | Warto                          | 2022-11-26  
Reja2                     | Main         | Warto                          | 2025-01-13  
Reminder                  | Insane       | elnoid                         | 2024-06-26  
Revenge                   | Solo         | FJP                            | 2025-02-04  
Reverberate               | Hard         | mrs                            | 2022-03-18  
rey4benz                  | Insane       | ReyDeuce                       | 2024-10-06  
rey4rey                   | Insane       | ReyDeuce                       | 2024-08-25  
Ring_of_Gores_III         | Insane       | Themix                         | 2021-05-01  
RingofGores               | Insane       | Themix                         | 2017-12-23  
RingofGores2              | Insane       | Themix                         | 2020-04-26  
Rivers_of_Blood           | Extreme      | Bibek                          | 2025-09-01  
Rosa                      | Main         | Warto                          | 2023-11-21  
Rosa2                     | Main         | Warto                          | 2025-04-25  
Route                     | Main         | Route66                        | 2021-04-30  
Rox                       | Hard         | Zonsa                          | 2020-06-30  
rubble                    | Main         | FJP                            | 2023-12-26  
Rubnitos                  | Hard         | Rubnitos                       | 2017-02-15  
Ruin                      | Hard         | Thermiq                        | 2024-01-05  
RuskiFlip                 | Main         | FlipLipp                       | 2019-04-19  
RyuGore1                  | Main         | Ryuma                          | 2018-07-13  
RyuGore2                  | Hard         | Ryu                            | 2018-09-10  
RyuGore3                  | Insane       | Ryuma                          | 2018-09-19  
RyuGore4                  | Main         | Ryuma                          | 2018-10-03  
RyuGore5                  | Insane       | Ryuma                          | 2019-01-28  
Ryugores_6                | Hard         | MoonCake                       | 2024-04-10  
Sabled_Sun_1              | Hard         | Gloomy_Wanderer                | 2019-02-01  
Sacrefount                | Extreme      | Themix                         | 2024-04-25  
sakura                    | Main         | GELO                           | 2021-05-09  
samo-FWYS1e               | Main         | samo                           | Released during a sunrise
samo-FWYS2e               | Main         | samo                           | Released during a sunrise
Sanada                    | Mod          | Warto                          | 2023-03-14  
Sanada2                   | Main         | Warto                          | 2025-05-18  
Sandblast                 | Hard         | Shivi                          | 2024-08-23  
Sandy_Cave                | Main         | TUX                            | 2018-09-12  
Sapphire                  | Main         | Brokecdx_Miiep                 | 2018-12-15  
Saturation                | Insane       | sync, Zonsa                    | 2020-09-19  
Savannux                  | Easy         | Tux                            | 2024-05-31  
Scary                     | Insane       | UnKnown                        | 2021-08-28  
Screwdriver               | Hard         | Protokol                       | 2019-07-05  
sd004_NIghtLIfe           | Main         | sd030                          | 2022-01-18  
sd005                     | Main         | sd030                          | 2021-12-23  
Selva                     | Main         | Warto                          | 2023-01-13  
SEMI                      | Main         | Rei ayanami                    | 2021-12-30  
SendanLife                | Insane       | Afterbjörn                     | 2025-11-02  
Serenitee                 | Insane       | firewave                       | 2022-08-26  
Shadow_Gores              | Main         | Deeper                         | Released during a sunrise
Shadow_Spring             | Mod          | Amol                           | 2024-01-12  
sharkexe                  | Hard         | Zero                           | 2021-01-16  
Shattered                 | Hard         | humik                          | 2023-09-03  
Sheldor                   | Main         | Sheldon                        | Released during a sunrise
shiro1                    | Hard         | Shiro                          | 2021-02-26  
shiro2                    | Main         | Shiro                          | 2021-06-15  
shishi4minyxe             | Hard         | Shishigami                     | 2023-08-20  
Shorty                    | Insane       | feat                           | 2022-07-03  
Shyzo4Cecily              | Main         | Shyzo                          | 2017-05-03  
Shyzo4Sasukey             | Hard         | Shyzo                          | 2017-07-15  
Shyzo4TheCrew             | Insane       | Shyzo                          | 2018-07-27  
Shyzo4TS                  | Insane       | Shyzo                          | 2018-09-01  
ShyzoEZ-1                 | Easy         | Shyzo                          | 2017-07-08  
Silently                  | Main         | Rw                             | 2025-06-27  
Simplistic                | Hard         | Thermiq                        | 2023-05-22  
Simplistic2               | Hard         | Thermiq                        | 2023-10-30  
Simply_Nine               | Hard         | Themix                         | Released during a sunrise
sionstail                 | Insane       | Shinzō                         | 2025-06-27  
SKILL                     | Hard         | Rei ayanami                    | 2022-06-28  
SKILLS                    | Hard         | Rei ayanami                    | 2022-08-23  
Sky_Dungeon               | Main         | Rei ayanami                    | 2021-05-23  
Skyground                 | Hard         | firewave                       | 2021-09-24  
SkyrelOne                 | Insane       | Skyrel                         | 2018-07-10  
SkyrelTwo                 | Insane       | Skyrel                         | 2023-04-26  
Slave_of_evil             | Insane       | Bibek                          | 2022-07-19  
SnailChan_Adventure       | Insane       | Shiiir0, Xin                   | 2021-07-16  
Snakepit                  | Insane       | Mixi                           | 2023-12-31  
snikichu                  | Extreme      | ejjie                          | 2025-10-05  
SnipeZonsa                | Insane       | SnipeZ² & Zonsa                | 2025-03-22  
Snow_Sleep                | Hard         | Mixi                           | 2023-09-01  
SoFall                    | Hard         | Fallet, Soyler                 | 2020-10-06  
SolarSystem               | Hard         | mind and tux                   | 2021-06-13  
Sonder                    | Main         | Money Boy                      | 2021-11-23  
SpacedOut                 | Hard         | Protokol,Feat                  | 2020-07-12  
SpaceJump                 | Main         | Vampyrali                      | 2017-11-12  
Spirits_Path              | Extreme      | purrp T                        | 2023-10-07  
Spitfire                  | Easy         | Beautemps, Omesurion           | 2020-09-22  
splith                    | Main         | konwic                         | 2020-12-15  
Springlobe                | Main         | Themix                         | Released during a sunrise
SPUDIMAN                  | Hard         | ejjie, Afterburn               | 2024-12-13  
Square_of_Gods            | Extreme      | Mixi                           | 2024-12-31  
Square_of_Gores           | Insane       | Mixi                           | 2021-02-09  
Square_of_Gores_2         | Insane       | Mixi                           | 2021-12-25  
Square_of_Gores_3         | Extreme      | Mixi                           | 2023-05-01  
Square_of_Gores_4         | Solo         | Mixi                           | 2024-07-28  
Ssor4badoumed             | Insane       | Ssor                           | 2024-08-31  
Ssor4Kleas                | Hard         | Ssor                           | 2023-07-28  
Ssor4Minori               | Insane       | Ssor                           | 2023-09-13  
Ssor4Misse                | Main         | Ssor                           | 2022-12-31  
Ssor4Toji                 | Extreme      | Ssor                           | 2024-07-08  
Ssor4Valouuu              | Hard         | Ssor                           | 2023-10-20  
StargazerFullOne          | Hard         | Mind                           | 2023-11-24  
Stars                     | Hard         | UnKnown                        | 2019-08-15  
Stonesss                  | Solo         | Zonsa                          | 2023-12-03  
Stripes                   | Hard         | Genex                          | 2019-05-24  
subdue                    | Easy         | FJP                            | 2024-12-29  
SummerNights              | Hard         | purrpT                         | 2023-06-22  
Suna_Tokei                | Insane       | Zonsa_pandoru_j4m3s            | 2019-10-19  
Sunrise                   | Insane       | ωerιx                          | 2025-10-05  
Sunshine                  | Easy         | Afterbjörn                     | 2024-11-26  
SUPSANE                   | Insane       | Shyzo                          | 2018-04-28  
Sura                      | Insane       | Bibek                          | 2022-04-23  
Synergy                   | Insane       | Krumplee, sync                 | 2020-05-29  
Synth                     | Hard         | Windy                          | 2023-08-08  
Syre                      | Extreme      | Redemption                     | 2023-03-26  
Tae                       | Hard         | Tae                            | 2023-03-19  
Teelands                  | Hard         | purrp T                        | 2020-07-03  
Teelands_2                | Hard         | purrp T                        | 2020-10-20  
Teelands_3                | Insane       | purrp T                        | 2021-01-07  
Teematic                  | Insane       | purrpT                         | 2026-01-18  
Tendril                   | Insane       | ipoopi                         | 2025-09-23  
Tenzet                    | Hard         | RealTaco                       | 2023-12-11  
Ternion                   | Hard         | ipoopi                         | 2023-11-03  
Terran                    | Easy         | Windy                          | 2021-08-06  
Terston1                  | Hard         | Terston                        | 2017-07-23  
Terston2                  | Main         | Terston                        | 2017-09-30  
Terston3                  | Main         | Terston                        | 2018-09-15  
Terston4                  | Hard         | Terston                        | 2021-01-26  
Terston4Bzw               | Hard         | Terston                        | 2020-06-23  
Terston4Ink               | Main         | Terston                        | 2017-06-30  
Terston4Tux               | Hard         | Terston                        | 2020-12-22  
